Participant,Trial,Resolution,Average FPS,Time (s),Cut Precision Error (m)
P01,1,10x10,71.81,10.013,1.0338
P01,2,10x10,70.23,12.901,0.6586
P01,3,10x10,71.89,8.986,1.12
P01,4,10x10,71.66,2.805,0.6059
P01,5,10x10,71.49,3.945,0.5779
P02,1,10x10,71.87,6.916,0.5192
P02,2,10x10,71.16,3.514,0.7725
P02,3,10x10,58.52,9.402,0.3969
P02,4,10x10,46.49,13.028,0.3005
P02,5,10x10,72.01,14.263,0
P03,1,10x10,71.43,3.486,0.5558
P03,2,10x10,71.75,3.861,0.6494
P03,3,10x10,71.76,4.027,1.2454
P03,4,10x10,70.95,3.806,1.3605
P03,5,10x10,71.42,4.859,0.4491
P04,1,10x10,70.17,0.542,1.9131
P04,2,10x10,70.81,9.152,1.9552
P04,3,10x10,66.88,9.959,1.5611
P04,4,10x10,70.56,9.52,1.2454
P04,5,10x10,69.03,9.172,1.5611
P05,1,10x10,63.22,10.132,0.9634
P05,2,10x10,71.98,1.195,0
P05,3,10x10,69.43,2.362,2.1555
P05,4,10x10,71.23,1.347,2.4177
P05,5,10x10,71.17,1.222,0.569
P06,1,10x10,68.36,3.072,1.6979
P06,2,10x10,71.53,6.277,1.8175
P06,3,10x10,69.07,9.845,1.2334
P06,4,10x10,71.54,13.041,1.8209
P06,5,10x10,71.09,6.611,1.2853
P07,1,10x10,72.01,1.083,0
P07,2,10x10,71.38,6.305,0.6841
P07,3,10x10,71.77,4.626,0.5322
P07,4,10x10,71.19,6.181,1.1643
P07,5,10x10,71.79,4.861,2.0976
P08,1,10x10,71.53,2.097,1.8673
P08,2,10x10,71.35,1.515,1.6573
P08,3,10x10,71.41,1.583,1.7253
P08,4,10x10,72,1.834,2.1578
P08,5,10x10,71.99,1.541,1.5771
P09,1,10x10,71.23,5.096,1.6013
P09,2,10x10,71.87,6.888,0.3918
P09,3,10x10,71.81,5.695,1.289
P09,4,10x10,71.69,6.403,0.8592
P09,5,10x10,71.84,6.125,0.7876
P10,1,10x10,67.49,15.971,0.7921
P10,2,10x10,71.66,17.289,0.7577
P10,3,10x10,71.7,13.32,0.6824
P10,4,10x10,64.45,7.553,0.7975
P10,5,10x10,65.64,2.693,0.7544
P11,1,10x10,71.76,25.305,1.3233
P11,2,10x10,61.34,7.136,0.3223
P11,3,10x10,68.93,4.462,0.4564
P11,4,10x10,66.51,5.139,0.4317
P11,5,10x10,65.57,6.335,1.2488
P12,1,10x10,71.55,6.708,0.905
P12,2,10x10,71.35,6.082,0.5014
P12,3,10x10,71.62,5.236,0.5844
P12,4,10x10,71.84,11.846,0.4824
P12,5,10x10,71.85,6.541,0.3938
P13,1,10x10,68.54,10.263,0.5715
P13,2,10x10,71.78,8.888,0.6826
P13,3,10x10,65.79,4.464,0.7181
P13,4,10x10,70.32,4.082,0.2998
P13,5,10x10,71.52,4.223,0.3996
P14,1,10x10,71.67,11.665,0.6354
P14,2,10x10,71.81,10.138,2.0975
P14,3,10x10,65.66,9.421,2.1164
P14,4,10x10,71.89,7.872,2.5037
P14,5,10x10,71.94,14.442,2.6842
P15,1,10x10,64.85,11.177,1.4576
P15,2,10x10,71.13,2.376,1.7538
P15,3,10x10,71.05,7.43,1.2902
P15,4,10x10,71.55,4.389,0.714
P15,5,10x10,71.19,3.681,0.2283
