Participant,Trial,Resolution,Start Time,End Time,Success,Final Error (cm),Regrab Count,FPS Avg
P01,1,10x10,11.01,27.47,1,8.16,3,72
P01,2,10x10,29.79,32.48,1,3.57,0,72
P01,3,10x10,33.45,37.38,1,8.53,0,72
P01,4,10x10,38.48,48.01,1,6.69,1,72
P01,5,10x10,50.09,53.53,1,4.75,0,72.1
P02,1,10x10,27.67,58.69,1,7.62,6,72.1
P02,2,10x10,63.39,64.81,1,9.86,0,72.1
P02,3,10x10,68.16,69.8,1,7.63,0,72.1
P02,4,10x10,72.81,75.19,1,5.28,0,72.1
P02,5,10x10,77.25,78.82,1,7.85,0,72
P03,1,10x10,70.77,76.26,1,11.61,0,72
P03,2,10x10,79.09,81.44,1,9.49,0,72
P03,3,10x10,83.12,85.26,1,9.72,0,72
P03,4,10x10,86.64,88.28,0,17.38,0,71.3
P03,5,10x10,89.31,92.73,1,8.6,0,72
P04,1,10x10,41.68,52.18,1,6.86,1,72
P04,2,10x10,54.19,59.04,1,3.19,0,72
P04,3,10x10,61.12,63.54,1,4.79,0,72
P04,4,10x10,64.49,67.24,1,3.93,0,72.1
P04,5,10x10,68.77,72.26,1,13.75,0,72.1
P05,1,10x10,7.68,18.99,1,8.37,2,72
P05,2,10x10,20.14,21.2,1,5.78,0,72
P05,3,10x10,21.96,22.81,1,9.11,0,72.1
P05,4,10x10,23.8,24.7,1,11.8,0,72
P05,5,10x10,25.32,26.35,1,10.86,0,72.1
P06,1,10x10,70.92,84.45,1,6.78,0,71.9
P06,2,10x10,87.07,91.19,1,9.89,0,72
P06,3,10x10,94.09,98.07,1,10.33,0,72
P06,4,10x10,100.69,104.83,1,3.27,0,72
P06,5,10x10,107.85,110.96,1,6.38,0,72
P07,1,10x10,51.27,59.67,1,7.33,0,72
P07,2,10x10,62.77,65.99,1,10.09,0,72
P07,3,10x10,67.29,70.24,1,11.64,0,72
P07,4,10x10,73.01,76.9,1,7.31,0,72
P07,5,10x10,83.98,87.56,1,8,0,72
P08,1,10x10,6.5,10.22,1,6.08,0,72
P08,2,10x10,11.86,14.93,1,4,0,72
P08,3,10x10,16.46,19.83,1,5.63,0,72
P08,4,10x10,20.61,23.35,1,8.54,0,72
P08,5,10x10,24.25,28.67,1,2.74,0,72
P09,1,10x10,33.49,51.5,1,2.35,2,72
P09,2,10x10,55.2,57.61,1,8.19,0,72.1
P09,3,10x10,59.75,61.97,1,1.93,0,72.1
P09,4,10x10,63.86,67.85,1,3.62,0,72.1
P09,5,10x10,69.21,71.13,1,5.34,0,71.6
P10,1,10x10,20.5,30.79,1,6.36,1,72.1
P10,2,10x10,38.02,44.35,1,7.31,0,72
P10,3,10x10,47.82,53.95,1,6.24,0,72.1
P10,4,10x10,55.27,58.95,1,8.39,0,72.1
P10,5,10x10,60.08,63.7,1,6.53,0,72.1
P11,1,10x10,73.87,79.71,1,10.86,2,72.1
P11,2,10x10,80.12,102.17,0,19.33,4,71.9
P11,3,10x10,105.31,238.01,0,15.91,18,72.1
P11,4,10x10,240.37,248.81,0,19.79,1,72.1
P11,5,10x10,250.74,253.19,0,18.09,0,72.1
P12,1,10x10,22.35,35.36,1,14.48,2,72.0
P12,2,10x10,38.42,46.39,1,11.99,1,72.0
P12,3,10x10,49.09,54.59,1,14.22,0,71.7
P12,4,10x10,57.40,68.40,1,7.16,1,72.0
P12,5,10x10,70.52,75.02,1,4.76,0,72.0
P13,1,10x10,29.46,41.42,0,16.82,2,72.0
P13,2,10x10,43.79,46.38,0,16.97,0,71.1
P13,3,10x10,48.09,50.77,1,11.07,0,72.0
P13,4,10x10,52.76,55.22,1,13.55,0,72.0
P13,5,10x10,57.02,59.26,1,8.06,0,72.0
P14,1,10x10,53.87,78.36,1,3.30,3,72.0
P14,2,10x10,81.96,116.47,1,8.04,2,72.0
P14,3,10x10,118.12,127.24,1,9.08,0,72.0
P14,4,10x10,130.28,133.81,1,1.77,0,72.0
P14,5,10x10,136.69,142.60,1,8.16,0,72.0
P15,1,10x10,32.37,37.81,1,6.39,0,72.0
P15,2,10x10,40.10,42.67,1,5.01,0,72.0
P15,3,10x10,44.91,52.48,1,4.12,1,72.0
P15,4,10x10,56.30,60.45,1,5.42,0,72.0
P15,5,10x10,62.91,70.59,1,5.45,1,72.0
