Participant,Trial,Resolution,Pins Required,Start Time,End Time,Total Time (s),FPS Avg
P01,1,10x10,1,0,34.67,34.67,46.5
P01,2,10x10,1,34.67,38.59,3.92,52.2
P01,3,10x10,1,38.59,41.64,3.05,48.5
P01,4,10x10,3,41.64,57.29,15.65,55.8
P01,5,10x10,2,57.29,63.2,5.9,69.2
P02,1,10x10,3,0,133.04,133.04,72
P02,2,10x10,2,133.04,184.04,51,72.1
P02,3,10x10,1,184.04,198.87,14.83,72.1
P02,4,10x10,2,198.87,253.95,55.08,68.9
P02,5,10x10,3,253.95,314.29,60.33,72
P03,1,10x10,2,0,179.58,179.58,71.9
P03,2,10x10,2,179.58,197.21,17.64,72
P03,3,10x10,3,197.21,235.41,38.2,72
P03,4,10x10,3,235.41,258.53,23.12,72
P03,5,10x10,3,258.53,321.64,63.1,72
P04,1,10x10,3,0,145.11,145.11,72
P04,2,10x10,2,145.11,154.97,9.86,72
P04,3,10x10,3,154.97,171.48,16.51,72
P04,4,10x10,1,171.48,188.5,17.02,72
P04,5,10x10,3,188.5,243.58,55.07,72
P05,1,10x10,3,0,83.06,83.06,72
P05,2,10x10,3,83.06,117.11,34.06,72
P05,3,10x10,2,117.11,125.6,8.48,72
P05,4,10x10,2,125.6,141.55,15.96,72.1
P05,5,10x10,2,141.55,160.51,18.96,72
P06,1,10x10,2,0,170.46,170.46,72
P06,2,10x10,1,170.46,177.78,7.32,72
P06,3,10x10,2,177.78,194.78,17,72
P06,4,10x10,1,194.78,199.29,4.51,72
P06,5,10x10,2,199.29,210.88,11.58,72
P07,1,10x10,3,0,159.75,159.75,72
P07,2,10x10,1,159.75,204.66,44.9,72
P07,3,10x10,2,204.66,213.71,9.05,72
P07,4,10x10,2,213.71,229.15,15.44,72
P07,5,10x10,1,229.15,244.08,14.93,72
P08,1,10x10,2,0,57.66,57.66,71.4
P08,2,10x10,2,57.66,69.48,11.82,72
P08,3,10x10,3,69.48,84.85,15.37,72
P08,4,10x10,1,84.85,92.52,7.67,72
P08,5,10x10,1,92.52,95.24,2.72,72
P09,1,10x10,1,0,112.19,112.19,72
P09,2,10x10,3,112.19,141.74,29.55,72
P09,3,10x10,1,141.74,147.76,6.02,72
P09,4,10x10,2,147.76,183.26,35.5,72.1
P09,5,10x10,3,183.26,239.38,56.12,72
P10,1,10x10,3,0,118.62,118.62,72
P10,2,10x10,1,118.62,125.71,7.09,72
P10,3,10x10,1,125.71,130.88,5.17,72
P10,4,10x10,1,130.88,140.31,9.43,71.9
P10,5,10x10,3,140.31,177.57,37.26,72.1
P11,1,10x10,2,177.57,183.79,6.22,72.1
P11,2,10x10,1,183.79,187.5,3.71,72.1
P11,3,10x10,1,0,290.07,290.07,72.1
P11,4,10x10,1,290.07,298.09,8.02,72.1
P11,5,10x10,2,298.09,365.81,67.72,72.1
P12,1,10x10,3,0.00,143.27,143.27,71.9
P12,2,10x10,2,143.27,165.53,22.27,71.8
P12,3,10x10,1,165.53,170.57,5.03,71.6
P12,4,10x10,1,170.57,176.84,6.27,72.0
P12,5,10x10,2,176.84,190.86,14.02,72.0
P13,1,10x10,1,0.00,105.98,105.98,71.9
P13,2,10x10,2,105.98,120.44,14.46,72.0
P13,3,10x10,2,120.44,151.52,31.08,72.0
P13,4,10x10,3,151.52,204.92,53.40,72.0
P13,5,10x10,1,204.92,238.65,33.73,72.0
P14,1,10x10,1,0.00,217.57,217.57,72.0
P14,2,10x10,2,217.57,247.52,29.95,72.0
P14,3,10x10,3,247.52,282.97,35.45,72.0
P14,4,10x10,1,282.97,303.69,20.72,72.0
P14,5,10x10,2,303.69,332.02,28.33,72.0
P15,1,10x10,1,0.00,108.84,108.84,72.0
P15,2,10x10,3,108.84,178.39,69.55,72.0
P15,3,10x10,2,178.39,196.26,17.87,72.0
P15,4,10x10,3,196.26,224.76,28.50,72.0
P15,5,10x10,3,224.76,239.40,14.64,72.0
P16,1,10x10,1,0.00,10.56,10.56,149.6
P16,2,10x10,3,10.56,16.57,6.01,154.3
P16,3,10x10,3,16.57,24.67,8.11,153.9
