Participant,Trial,Resolution,Average FPS,Time (s),Sew Precision Error (m)
P01,1,10x10,71.94,49.179,1.5714
P01,2,10x10,71.95,20.36,0.5853
P01,3,10x10,72.01,11.61,1.0995
P01,4,10x10,72,49.665,0.8447
P01,5,10x10,71.87,7.305,0.1175
P02,1,10x10,71.7,12.455,0.4455
P02,2,10x10,71.93,36.299,0.3523
P02,3,10x10,71.62,17.845,0.1939
P02,4,10x10,72.01,9.665,0.2906
P02,5,10x10,71.97,24.025,0.2549
P03,1,10x10,71.8,23.038,0.3508
P03,2,10x10,72.01,23.747,0.3929
P03,3,10x10,72.01,14.22,0.1242
P03,4,10x10,71.38,12.679,0.2667
P03,5,10x10,70.62,6.428,0.3594
P04,1,10x10,71.97,26.485,0.5786
P04,2,10x10,71.9,39.583,0.2691
P04,3,10x10,71.95,37.734,0.1732
P04,4,10x10,71.83,5.277,0
P04,5,10x10,72.02,6.151,0
P05,1,10x10,71.71,10.542,0
P05,2,10x10,65.09,4.686,0
P05,3,10x10,65.3,10.153,0
P05,4,10x10,65.46,10.068,0
P05,5,10x10,65.36,6.916,0
P06,1,10x10,71.95,38.748,0.9902
P06,2,10x10,72,16.653,0.4602
P06,3,10x10,72,28.207,0.6283
P06,4,10x10,72,19.597,0.4942
P06,5,10x10,72,24,0.6044
P07,1,10x10,71.93,14.514,2.8795
P07,2,10x10,71.96,26.639,2.8039
P07,3,10x10,70.01,16.495,2.6118
P07,4,10x10,72,21.777,2.2227
P07,5,10x10,59.07,10.186,2.8516
P08,1,10x10,71.95,20.374,0.2113
P08,2,10x10,72.01,5.347,0.1991
P08,3,10x10,72,5.556,0.3949
P08,4,10x10,71.99,3.82,0.1093
P08,5,10x10,71.92,12.152,0.2055
P09,1,10x10,71.96,24.292,1.9892
P09,2,10x10,72,8.098,1.6453
P09,3,10x10,62.05,3.377,1.307
P09,4,10x10,56.1,4.114,1.6763
P09,5,10x10,71.83,5.806,1.2666
P10,1,10x10,65.24,25.571,1.9131
P10,2,10x10,68.49,7.925,1.249
P10,3,10x10,45.46,3.355,1.1681
P10,4,10x10,71.79,5.154,1.0644
P10,5,10x10,72,1.472,0
P11,1,10x10,70.07,30.899,1.1497
P11,2,10x10,72,5.597,1.3109
P11,3,10x10,71.03,30.493,0
P11,4,10x10,72,26.693,0
P11,5,10x10,72,7.736,2.2226
P12,1,10x10,67.89,22.498,1.1715
P12,2,10x10,67.75,60.61,1.3121
P12,3,10x10,61.71,6.215,0.1391
P12,4,10x10,71.83,10.776,0.2019
P12,5,10x10,71.9,18.623,0.166
P13,1,10x10,71.9,18.86,0.7208
P13,2,10x10,72,11.764,0.6881
P13,3,10x10,72,3.028,0.9505
P13,4,10x10,72.03,3.54,0.7923
P13,5,10x10,72.01,6.513,1.0927
P14,1,10x10,71.92,32.689,2.2813
P14,2,10x10,69.74,31.312,2.2692
P14,3,10x10,72.01,29.828,1.9947
P14,4,10x10,72.01,25.65,1.757
P14,5,10x10,72.02,9.179,1.7299
P15,1,10x10,71.98,38.595,0
P15,2,10x10,72,16.041,0
P15,3,10x10,72,8.236,1.6173
P15,4,10x10,71.99,6.612,0.7984
P15,5,10x10,71.73,7.346,0.4036
